#vA= 0.500000 m/s
#vK= 0.250000 m/s
#L0= 3.000000 m
#tS= 12.000000 s
#xS= 6.000000 m
# t(s)	xAchiles(m)	xKorytnacka(m)
34.900040 17.450020 11.725010
35.000038 17.500019 11.750010
35.100037 17.550018 11.775009
35.200035 17.600018 11.800009
35.300034 17.650017 11.825008
35.400032 17.700016 11.850008
35.500031 17.750015 11.875008
35.600029 17.800014 11.900007
35.700027 17.850014 11.925007
35.800026 17.900013 11.950006
35.900024 17.950012 11.975006
36.000023 18.000011 12.000006
36.100021 18.050011 12.025005
36.200020 18.100010 12.050005
36.300018 18.150009 12.075005
36.400017 18.200008 12.100004
36.500015 18.250008 12.125004
36.600014 18.300007 12.150003
36.700012 18.350006 12.175003
36.800011 18.400005 12.200003
36.900009 18.450005 12.225002
37.000008 18.500004 12.250002
37.100006 18.550003 12.275002
37.200005 18.600002 12.300001
37.300003 18.650002 12.325001
37.400002 18.700001 12.350000
37.500000 18.750000 12.375000
37.599998 18.799999 12.400000
37.699997 18.849998 12.424999
37.799995 18.899998 12.449999
37.899994 18.949997 12.474998
37.999992 18.999996 12.499998
38.099991 19.049995 12.524998
38.199989 19.099995 12.549997
38.299988 19.149994 12.574997
38.399986 19.199993 12.599997
38.499985 19.249992 12.624996
38.599983 19.299992 12.649996
38.699982 19.349991 12.674995
38.799980 19.399990 12.699995
38.899979 19.449989 12.724995
38.999977 19.499989 12.749994
39.099976 19.549988 12.774994
39.199974 19.599987 12.799994
39.299973 19.649986 12.824993
39.399971 19.699986 12.849993
39.499969 19.749985 12.874992
39.599968 19.799984 12.899992
39.699966 19.849983 12.924992
39.799965 19.899982 12.949991
39.899963 19.949982 12.974991
39.999962 19.999981 12.999990
40.099960 20.049980 13.024990
40.199959 20.099979 13.049990
40.299957 20.149979 13.074989
40.399956 20.199978 13.099989
40.499954 20.249977 13.124989
40.599953 20.299976 13.149988
40.699951 20.349976 13.174988
40.799950 20.399975 13.199987
40.899948 20.449974 13.224987
40.999947 20.499973 13.249987
41.099945 20.549973 13.274986
41.199944 20.599972 13.299986
41.299942 20.649971 13.324986
41.399940 20.699970 13.349985
41.499939 20.749969 13.374985
41.599937 20.799969 13.399984
41.699936 20.849968 13.424984
41.799934 20.899967 13.449984
41.899933 20.949966 13.474983
41.999931 20.999966 13.499983
42.099930 21.049965 13.524982
42.199928 21.099964 13.549982
42.299927 21.149963 13.574982
42.399925 21.199963 13.599981
42.499924 21.249962 13.624981
42.599922 21.299961 13.649981
42.699921 21.349960 13.674980
42.799919 21.399960 13.699980
42.899918 21.449959 13.724979
42.999916 21.499958 13.749979
43.099915 21.549957 13.774979
43.199913 21.599957 13.799978
43.299911 21.649956 13.824978
43.399910 21.699955 13.849977
43.499908 21.749954 13.874977
43.599907 21.799953 13.899977
43.699905 21.849953 13.924976
43.799904 21.899952 13.949976
43.899902 21.949951 13.974976
43.999901 21.999950 13.999975
44.099899 22.049950 14.024975
44.199898 22.099949 14.049974
44.299896 22.149948 14.074974
44.399895 22.199947 14.099974
44.499893 22.249947 14.124973
44.599892 22.299946 14.149973
44.699890 22.349945 14.174973
44.799889 22.399944 14.199972
44.899887 22.449944 14.224972
44.999886 22.499943 14.249971
45.099884 22.549942 14.274971
45.199883 22.599941 14.299971
45.299881 22.649940 14.324970
45.399879 22.699940 14.349970
45.499878 22.749939 14.374969
45.599876 22.799938 14.399969
45.699875 22.849937 14.424969
45.799873 22.899937 14.449968
45.899872 22.949936 14.474968
45.999870 22.999935 14.499968
46.099869 23.049934 14.524967
46.199867 23.099934 14.549967
46.299866 23.149933 14.574966
46.399864 23.199932 14.599966
46.499863 23.249931 14.624966
46.599861 23.299931 14.649965
46.699860 23.349930 14.674965
46.799858 23.399929 14.699965
46.899857 23.449928 14.724964
46.999855 23.499928 14.749964
47.099854 23.549927 14.774963
47.199852 23.599926 14.799963
47.299850 23.649925 14.824963
47.399849 23.699924 14.849962
47.499847 23.749924 14.874962
47.599846 23.799923 14.899961
47.699844 23.849922 14.924961
47.799843 23.899921 14.949961
47.899841 23.949921 14.974960
47.999840 23.999920 14.999960
48.099838 24.049919 15.024960
48.199837 24.099918 15.049959
48.299835 24.149918 15.074959
48.399834 24.199917 15.099958
48.499832 24.249916 15.124958
48.599831 24.299915 15.149958
48.699829 24.349915 15.174957
48.799828 24.399914 15.199957
48.899826 24.449913 15.224957
48.999825 24.499912 15.249956
49.099823 24.549911 15.274956
49.199821 24.599911 15.299955
49.299820 24.649910 15.324955
49.399818 24.699909 15.349955
49.499817 24.749908 15.374954
49.599815 24.799908 15.399954
49.699814 24.849907 15.424953
49.799812 24.899906 15.449953
49.899811 24.949905 15.474953
49.999809 24.999905 15.499952
50.099808 25.049904 15.524952
50.199806 25.099903 15.549952
50.299805 25.149902 15.574951
50.399803 25.199902 15.599951
50.499802 25.249901 15.624950
50.599800 25.299900 15.649950
50.699799 25.349899 15.674950
50.799797 25.399899 15.699949
50.899796 25.449898 15.724949
50.999794 25.499897 15.749949
51.099792 25.549896 15.774948
51.199791 25.599895 15.799948
51.299789 25.649895 15.824947
51.399788 25.699894 15.849947
51.499786 25.749893 15.874947
51.599785 25.799892 15.899946
51.699783 25.849892 15.924946
51.799782 25.899891 15.949945
51.899780 25.949890 15.974945
51.999779 25.999889 15.999945
52.099777 26.049889 16.024944
52.199776 26.099888 16.049944
52.299774 26.149887 16.074944
52.399773 26.199886 16.099943
52.499771 26.249886 16.124943
52.599770 26.299885 16.149942
52.699768 26.349884 16.174942
52.799767 26.399883 16.199942
52.899765 26.449883 16.224941
52.999763 26.499882 16.249941
53.099762 26.549881 16.274940
53.199760 26.599880 16.299940
53.299759 26.649879 16.324940
53.399757 26.699879 16.349939
53.499756 26.749878 16.374939
53.599754 26.799877 16.399939
